sample_location,sample_date,Fe2O3_percent,Fe_percent,SiO2_percent,SO3_percent,Na2O_percent,CaO_percent,MnO_percent,Al2O3_percent,Cl_percent,MgO_percent,Cr2O3_percent,Co2O3_percent,corrosion_severity,corrosion_implication
Mtwara,20/04/2025,50.14,35.07,24.84,0.83,1.96,4.33,2.52,7.07,0.05,2.48,0.98,0.27,Low,Protective oxide layer formation
Kagera,22/09/2022,84.03,58.77,10.4,1.48,0.28,0.17,0.32,0.67,1.37,0.52,0.1,0.06,Severe,Critical stress corrosion cracking
Dodoma,21/04/2025,82.79,57.9,11.65,2.8,0.11,0.15,0.25,0.7,0.47,0.4,0.41,0.27,Severe,Deep penetration corrosion
Singida,25/07/2024,70.22,49.11,12.09,1.02,0.94,3.06,0.25,5.02,0.67,2.32,1.57,0.6,Moderate,General surface corrosion
Tabora,18/02/2022,85.36,59.7,8.38,1.32,0.3,0.31,0.22,1.22,1.08,0.76,0.57,0.47,Severe,Significant wall thinning
Shinyanga,21/01/2021,70.05,48.99,21.26,1.79,0.17,1.4,1.24,0.65,0.56,0.4,0.47,0.2,Moderate,Uniform corrosion with scaling
Arusha,01/02/2021,52.69,36.86,43.35,0.32,0.1,0.44,0.21,0.64,0.27,0.6,0.49,0.22,Low,Minimal corrosion activity
Cyclone,31/10/2024,73.74,51.58,24.17,1.58,0.01,0.01,0.02,0.28,0.27,0.04,-0.01,0.01,Moderate,Erosive wear from particulate ingress
Iringa,22/12/2023,79.87,55.86,1.43,2.86,1.03,5.67,2.47,2.1,1.13,0.65,1.66,0.66,Severe,Significant wall thinning
Shinyanga,30/09/2024,79.98,55.94,1.74,2.93,0.9,1.52,2.22,5.93,0.5,1.69,1.55,0.2,Severe,Deep penetration corrosion
Lindi,10/08/2024,55.27,38.66,37.1,0.54,0.18,1.84,1.56,0.86,0.19,0.99,0.47,0.18,Very Low,Passive corrosion behavior
Mbeya,27/03/2025,86.86,60.75,6.0,1.0,0.24,0.72,1.07,1.45,1.14,0.2,0.55,0.56,High,Severe corrosion (oxidation and MIC)
Madimba,09/08/2020,61.33,42.9,22.18,0.4,1.44,5.03,1.39,1.36,0.54,2.04,0.35,0.03,Moderate,Moderate pitting observed
Tabora,07/02/2021,87.19,60.98,10.22,3.39,0.05,0.2,0.1,0.5,1.28,0.1,0.05,0.05,Severe,Significant wall thinning
Ruvuma,05/09/2020,85.72,59.95,5.42,2.61,0.31,0.66,1.33,1.43,0.57,0.57,0.3,0.05,High,Severe intergranular attack
Zanzibar,07/07/2024,41.93,29.33,34.38,0.11,1.79,4.97,0.67,8.23,0.36,2.6,0.4,0.59,Very Low,No significant deterioration
Arusha,21/10/2023,57.11,39.94,18.81,1.2,0.1,7.79,1.42,5.72,0.36,2.56,0.68,0.06,Low,Light surface scaling
Cyclone,23/03/2021,82.71,57.85,3.32,1.06,0.34,1.39,0.35,2.46,0.65,0.59,1.95,0.61,High,Severe corrosion (oxidation and MIC)
Morogoro,15/10/2022,83.79,58.61,9.78,1.83,0.24,0.44,0.18,0.67,0.76,0.33,0.8,0.06,High,Aggressive pitting corrosion
Tanga,23/02/2022,41.74,29.2,37.58,0.56,0.87,5.64,2.59,5.4,0.25,0.85,1.68,0.79,Low,Acceptable corrosion rates
Mbeya,18/02/2022,82.43,57.65,6.38,1.52,0.71,1.65,1.68,1.82,1.22,0.54,0.51,0.27,Severe,Severe localized attack
Mbeya,11/01/2025,72.54,50.73,15.14,0.34,0.86,2.93,1.7,1.03,0.77,1.14,0.47,0.45,Moderate,Erosive wear from particulate ingress
Iringa,28/07/2021,70.22,49.11,21.13,0.37,0.33,0.83,0.48,1.11,0.27,1.86,1.85,0.78,Moderate,Erosive wear from particulate ingress
Kagera,24/09/2024,58.29,40.77,24.76,0.81,0.31,4.2,2.54,0.82,0.39,2.41,1.35,0.18,Moderate,Selective corrosion activity
Lindi,21/01/2022,59.96,41.94,25.11,0.31,0.14,3.77,1.45,5.11,0.05,1.3,0.78,0.29,Low,Protective oxide layer formation
Kigoma,14/02/2023,45.42,31.77,42.59,0.74,0.86,0.31,0.15,2.36,0.23,1.7,1.68,0.14,Low,Protective oxide layer formation
Songosongo,09/03/2025,55.03,38.49,38.86,0.16,0.04,1.21,1.09,1.67,0.13,0.35,0.03,0.66,Very Low,No significant deterioration
Rukwa,20/10/2022,72.83,50.94,17.52,0.55,0.36,1.87,1.35,3.45,0.17,0.31,0.65,0.26,Moderate,Uniform corrosion with scaling
Singida,04/11/2020,80.63,56.4,1.11,4.36,0.33,2.85,2.45,3.68,1.19,0.53,0.14,0.36,Severe,Significant wall thinning
Tanga,20/12/2024,63.72,44.57,31.54,0.54,0.17,1.07,0.63,0.92,0.14,0.46,0.44,0.37,Low,Light surface scaling
Zanzibar,05/02/2021,76.11,53.23,3.34,0.83,1.87,3.15,2.66,3.24,1.13,2.7,0.63,0.56,Severe,Significant wall thinning
Kilifi,26/07/2020,47.66,33.34,42.26,0.79,0.12,0.14,2.49,1.39,0.19,1.65,1.15,0.38,Low,Slight discoloration only
Kilifi,01/03/2020,57.23,40.03,23.64,0.4,0.93,3.67,2.53,3.64,0.08,0.74,1.62,0.66,Low,Minimal corrosion activity
Mbeya,17/01/2021,65.56,45.85,26.92,0.68,0.29,1.44,0.59,2.49,0.23,0.12,0.42,0.14,Moderate,Moderate pitting observed
Kigoma,26/08/2022,77.34,54.09,23.44,1.17,0.05,0.2,0.1,0.5,0.19,0.1,0.05,0.05,Moderate,Moderate pitting observed
Singida,12/11/2021,57.68,40.34,27.02,1.26,1.88,2.33,1.67,0.69,0.58,1.27,1.63,0.49,Moderate,General surface corrosion
Lindi,22/07/2024,76.49,53.5,22.17,1.84,0.05,0.2,0.1,0.5,0.56,0.1,0.05,0.05,Moderate,Selective corrosion activity
Rukwa,12/06/2025,72.31,50.57,22.84,1.11,0.13,0.95,0.12,1.05,0.43,0.41,0.33,0.32,Moderate,Uniform corrosion with scaling
Rukwa,25/05/2025,76.05,53.19,25.51,0.58,0.05,0.2,0.1,0.5,0.46,0.1,0.05,0.05,Moderate,Erosive wear from particulate ingress
Madimba,25/05/2022,70.44,49.26,27.15,1.63,-0.0,0.1,0.04,0.18,0.41,0.1,-0.01,0.01,Moderate,Erosive wear from particulate ingress
Dar es Salaam,30/06/2024,62.54,43.74,34.81,0.23,0.05,0.54,0.24,0.49,0.13,0.15,0.21,0.61,Low,Acceptable corrosion rates
Dodoma,28/08/2020,77.71,54.35,10.55,1.66,0.6,0.27,0.15,1.63,1.42,1.56,0.07,0.47,Severe,Severe localized attack
Rukwa,05/11/2021,43.0,30.08,41.51,0.41,0.89,5.1,0.2,1.5,0.08,1.53,0.68,0.32,Very Low,No significant deterioration
Dar es Salaam,01/04/2024,60.53,42.34,25.22,1.38,0.46,1.68,0.45,4.1,0.59,1.81,1.35,0.22,Moderate,Selective corrosion activity
Rukwa,09/01/2020,56.75,39.69,33.6,0.79,0.44,1.76,1.39,1.2,0.35,0.74,0.59,0.46,Low,Slight discoloration only
Dodoma,18/05/2024,79.03,55.28,8.58,4.26,0.03,2.04,0.07,1.65,1.31,1.02,1.07,0.79,Severe,Significant wall thinning
Dodoma,22/12/2022,48.77,34.11,36.43,0.73,1.37,1.63,2.32,2.54,0.25,0.74,0.47,0.5,Low,Slight discoloration only
Iringa,06/02/2025,79.37,55.52,2.44,1.02,1.0,0.33,2.22,5.51,1.07,1.09,1.86,0.27,Severe,Significant wall thinning
Bukoba,14/03/2023,58.3,40.77,16.69,1.46,1.03,7.21,2.39,6.53,0.49,1.91,1.89,0.24,Moderate,Moderate pitting observed
Kagera,28/09/2024,53.49,37.41,24.87,0.43,0.8,6.82,2.88,4.71,0.05,1.57,0.18,0.44,Very Low,Stable protective coating
Rukwa,16/06/2025,72.33,50.59,20.0,1.76,0.39,0.44,0.08,1.42,0.62,0.45,0.93,0.68,Moderate,Selective corrosion activity
Kigoma,26/09/2021,57.55,40.25,35.52,1.13,0.25,1.21,0.89,0.58,0.38,0.68,0.37,0.11,Low,Minimal corrosion activity
Musoma,16/02/2022,72.37,50.62,25.26,1.21,0.02,0.23,0.14,0.34,0.2,0.1,0.07,0.06,Moderate,Selective corrosion activity
Arusha,30/04/2023,83.11,58.13,7.39,2.71,0.02,0.97,0.93,1.54,1.43,0.73,0.69,0.08,Severe,Severe localized attack
Ruvuma,10/06/2022,80.61,56.38,5.84,1.29,0.53,0.35,1.82,1.89,1.11,2.57,0.44,0.36,Severe,Metal loss in carbon steel
Mbeya,27/08/2020,57.82,40.44,33.88,0.99,0.39,1.37,1.14,2.34,0.17,0.61,0.46,0.34,Very Low,Stable protective coating
Zanzibar,06/09/2020,85.82,60.03,3.43,3.04,0.74,0.54,0.15,1.64,1.09,1.08,0.78,0.19,High,Severe corrosion (oxidation and MIC)
Morogoro,08/07/2023,74.3,51.97,20.09,0.38,0.27,1.37,0.76,0.42,0.19,0.89,0.77,0.05,Moderate,Selective corrosion activity
Arusha,22/08/2020,61.9,43.29,25.58,0.1,0.61,4.15,0.44,3.9,0.17,1.33,0.25,0.33,Low,Acceptable corrosion rates
Musoma,24/07/2020,77.5,54.2,24.79,0.44,0.05,0.2,0.1,0.5,0.37,0.1,0.05,0.05,Moderate,Moderate crevice corrosion
Cyclone,06/05/2025,83.4,58.33,10.16,2.94,0.1,0.14,0.37,0.81,1.28,0.14,0.22,0.33,Severe,Significant wall thinning
Tabora,21/08/2025,77.92,54.5,22.81,0.36,0.05,0.2,0.1,0.5,0.41,0.1,0.05,0.05,Moderate,Moderate pitting observed
Pemba,15/12/2025,47.56,33.26,36.76,0.32,0.16,3.79,1.59,4.87,0.25,1.0,0.53,0.34,Low,Light surface scaling
Kagera,06/10/2021,57.1,39.94,20.81,1.29,2.07,7.18,0.63,4.39,0.41,0.17,1.16,0.71,Moderate,General surface corrosion
Bukoba,20/08/2020,73.63,51.5,24.0,0.92,0.02,0.12,0.07,0.29,0.74,0.1,0.03,0.09,Moderate,Erosive wear from particulate ingress
Kagera,11/09/2025,69.94,48.91,24.78,1.37,0.22,0.3,0.9,0.32,0.76,0.35,0.42,0.55,Moderate,Uniform corrosion with scaling
Mtwara,24/11/2020,94.94,66.4,4.16,3.46,0.05,0.2,0.1,0.5,1.37,0.1,0.05,0.05,High,Advanced galvanic corrosion
Pemba,31/01/2022,63.25,44.24,27.16,0.46,1.25,0.48,0.7,1.92,0.07,0.82,1.75,0.25,Very Low,Optimal material performance
Mwanza,07/10/2020,92.14,64.45,2.61,3.63,0.01,0.12,0.05,0.19,1.16,0.07,0.01,0.01,Severe,Severe localized attack
Dar es Salaam,05/10/2020,73.46,51.38,14.2,1.74,0.74,2.8,1.68,1.5,0.77,1.27,0.36,0.69,Moderate,Moderate crevice corrosion
Pwani,21/08/2022,53.2,37.21,36.3,0.89,0.55,0.6,0.17,3.34,0.14,1.57,1.66,0.31,Low,Minor surface oxidation
Kagera,11/07/2024,58.46,40.89,23.11,0.66,1.41,4.19,1.41,3.72,0.3,2.5,1.42,0.09,Low,Acceptable corrosion rates
Kilifi,06/05/2021,88.42,61.84,4.99,3.38,0.02,0.16,0.2,0.62,1.37,0.32,0.31,0.22,Severe,Deep penetration corrosion
Cyclone,05/10/2022,61.22,42.82,27.07,0.57,0.88,1.51,0.37,3.41,0.34,0.12,1.95,0.3,Moderate,Uniform corrosion with scaling
Dodoma,11/06/2020,62.91,44.0,19.05,1.09,0.46,3.3,0.46,3.43,0.72,2.95,0.16,0.53,Moderate,Uniform corrosion with scaling
Dar es Salaam,01/12/2020,64.55,45.15,24.56,0.9,0.23,2.13,0.76,3.24,0.28,0.71,1.19,0.42,Moderate,Uniform corrosion with scaling
Musoma,13/09/2024,68.71,48.06,18.96,1.99,0.39,0.32,0.65,1.52,0.75,1.25,0.01,0.73,Moderate,General surface corrosion
Morogoro,11/11/2025,89.85,62.84,2.32,1.42,0.25,1.93,0.41,1.8,0.47,0.17,0.29,0.31,Severe,Significant wall thinning
Singida,19/07/2023,65.22,45.61,20.14,1.38,1.36,0.14,2.35,4.39,0.71,1.1,0.94,0.79,Moderate,Selective corrosion activity
Tabora,04/12/2022,79.97,55.93,11.91,2.79,0.23,1.28,0.35,0.43,1.34,0.1,0.23,0.66,Severe,Critical stress corrosion cracking
Bukoba,16/04/2022,74.03,51.78,16.93,0.1,0.46,0.35,0.58,1.04,0.31,1.52,0.84,0.31,Moderate,Erosive wear from particulate ingress
Musoma,10/07/2023,93.11,65.12,4.63,2.62,0.05,0.2,0.1,0.5,0.52,0.1,0.05,0.05,Severe,Deep penetration corrosion
Rukwa,04/09/2022,78.8,55.12,6.99,3.84,0.8,0.83,1.82,3.79,0.49,0.32,0.03,0.41,High,Aggressive pitting corrosion
Kigoma,23/12/2022,78.98,55.24,4.18,1.85,0.3,3.25,0.52,2.41,0.81,2.1,0.63,0.41,Severe,Rapid corrosion propagation
Zanzibar,09/06/2024,89.79,62.8,2.71,3.19,0.15,0.61,0.41,0.39,1.0,0.13,0.93,0.69,Severe,Severe localized attack
Rukwa,20/06/2021,69.44,48.57,14.34,0.46,0.06,4.21,1.33,5.53,0.76,1.29,0.52,0.26,Moderate,Uniform corrosion with scaling
Dodoma,13/05/2023,71.01,49.67,25.18,0.79,0.25,0.85,0.13,0.67,0.28,0.14,0.15,0.55,Moderate,General surface corrosion
Shinyanga,15/02/2025,56.76,39.7,34.83,1.13,0.26,1.99,0.45,2.31,0.31,0.14,0.74,0.37,Very Low,Passive corrosion behavior
Dodoma,19/07/2023,82.14,57.45,3.05,3.15,0.64,0.9,0.87,2.41,1.22,1.9,0.44,0.77,Severe,Significant wall thinning
Mbeya,24/10/2020,85.5,59.8,3.77,3.42,1.45,0.68,0.05,0.58,0.89,0.18,0.49,0.53,Severe,Critical stress corrosion cracking
Singida,08/02/2020,86.01,60.16,9.01,1.37,0.05,0.69,0.41,0.83,1.06,0.19,0.16,0.06,Severe,Critical stress corrosion cracking
Zanzibar,20/02/2025,77.39,54.13,9.97,2.01,0.87,1.92,2.05,1.69,1.06,0.6,0.14,0.62,Severe,Critical stress corrosion cracking
Njombe,13/02/2021,92.16,64.46,5.79,3.27,0.05,0.2,0.1,0.5,1.45,0.1,0.05,0.05,Severe,Critical stress corrosion cracking
Tanga,27/10/2020,93.6,65.47,3.85,2.75,0.05,0.2,0.1,0.5,0.46,0.1,0.05,0.05,Severe,Significant wall thinning
Tabora,23/05/2022,77.43,54.15,6.86,1.92,1.64,0.88,1.17,3.19,1.02,1.89,1.46,0.74,Severe,Deep penetration corrosion
Pwani,03/09/2025,86.83,60.73,8.33,1.51,0.11,0.44,0.26,0.66,1.09,0.18,0.08,0.5,Severe,Rapid corrosion propagation
Kigoma,22/12/2022,54.49,38.11,30.82,0.05,0.75,0.15,1.68,5.35,0.17,2.18,0.18,0.78,Low,Protective oxide layer formation
Pwani,26/06/2021,69.13,48.35,19.74,0.55,0.35,0.6,2.52,0.58,0.43,0.7,1.01,0.62,Moderate,Moderate pitting observed
Singida,30/11/2023,63.8,44.62,34.22,1.04,0.02,0.15,0.06,0.29,0.3,0.08,0.01,0.03,Very Low,Stable protective coating
Musoma,08/10/2020,76.12,53.24,11.04,2.6,0.58,0.95,0.87,2.14,1.07,1.79,0.88,0.09,High,Aggressive pitting corrosion
Musoma,27/09/2022,63.55,44.45,34.29,0.46,0.06,0.51,0.15,0.54,0.08,0.11,0.12,0.13,Very Low,Optimal material performance
Tabora,22/02/2024,87.97,61.53,7.86,4.13,0.05,0.2,0.1,0.5,0.54,0.1,0.05,0.05,Severe,Rapid corrosion propagation
Tabora,13/03/2023,72.28,50.56,22.83,1.89,0.18,0.3,0.21,1.0,0.39,0.34,0.33,0.17,Moderate,Moderate pitting observed
Kigoma,08/10/2021,89.77,62.79,5.26,1.04,0.19,1.29,0.36,0.6,0.71,0.31,0.11,0.36,Severe,Critical stress corrosion cracking
Tanga,29/11/2024,75.0,52.46,27.16,0.44,0.05,0.2,0.1,0.5,0.29,0.1,0.05,0.05,Moderate,Moderate pitting observed
Kilifi,24/05/2023,72.39,50.63,21.73,0.85,0.32,0.44,0.11,1.44,0.44,0.38,0.2,0.29,Moderate,Selective corrosion activity
Zanzibar,06/12/2025,56.32,39.39,26.15,1.21,0.6,4.06,1.29,3.96,0.25,1.93,1.01,0.02,Moderate,Selective corrosion activity
Iringa,02/02/2020,70.21,49.11,17.89,0.17,0.52,2.29,2.42,2.01,0.79,1.24,1.18,0.69,Moderate,Uniform corrosion with scaling
Ruvuma,11/05/2023,65.93,46.11,27.47,0.83,0.33,2.05,0.54,0.45,0.6,0.15,0.42,0.7,Moderate,Moderate pitting observed
Singida,28/02/2021,60.65,42.42,37.16,0.56,0.03,0.14,0.24,0.31,0.39,0.13,0.02,0.03,Low,Slight discoloration only
Arusha,04/07/2021,77.69,54.34,7.66,2.53,1.2,4.26,0.08,0.41,0.87,2.0,0.86,0.43,Severe,Metal loss in carbon steel
Arusha,19/12/2022,63.95,44.73,26.3,1.79,0.2,2.61,1.16,1.98,0.37,0.42,0.21,0.77,Moderate,Moderate crevice corrosion
Songosongo,17/04/2021,62.93,44.02,22.36,0.12,1.79,0.18,0.81,3.19,0.39,1.4,1.47,0.8,Low,Protective oxide layer formation
Shinyanga,14/03/2021,46.53,32.54,28.95,0.64,0.35,6.19,1.52,9.3,0.11,1.67,1.09,0.56,Low,Acceptable corrosion rates
Tanga,28/09/2021,77.78,54.4,17.94,1.26,0.24,0.44,0.24,0.41,0.65,0.28,0.23,0.54,Moderate,Moderate crevice corrosion
Tabora,20/01/2023,68.14,47.66,14.23,1.74,0.13,2.96,2.04,5.38,0.52,0.81,0.92,0.32,Moderate,General surface corrosion
Lindi,28/02/2023,79.88,55.87,11.54,4.38,0.08,1.28,0.6,0.69,0.67,0.23,0.21,0.44,Severe,Significant wall thinning
Tanga,12/05/2022,55.65,38.92,39.91,0.37,0.06,1.13,0.55,0.86,0.15,0.54,0.31,0.46,Low,Light surface scaling
Musoma,05/11/2023,78.13,54.64,7.25,3.58,0.57,1.44,1.59,2.12,0.7,1.86,1.05,0.42,High,Extensive uniform corrosion
Dar es Salaam,13/04/2022,53.3,37.28,38.95,0.14,0.39,0.37,1.2,2.3,0.33,1.15,0.72,0.37,Very Low,Negligible corrosion detected
Mwanza,17/12/2022,77.41,54.14,13.04,1.95,0.67,1.66,0.22,1.89,0.68,0.85,0.88,0.36,Moderate,Moderate crevice corrosion
Kagera,01/09/2025,51.22,35.82,34.14,0.06,1.1,2.1,1.32,5.1,0.35,0.27,1.64,0.2,Very Low,Excellent corrosion resistance
Pwani,24/06/2025,74.29,51.96,15.89,1.77,0.61,0.43,2.3,0.82,0.51,1.33,0.07,0.68,Moderate,Erosive wear from particulate ingress
Zanzibar,25/10/2022,68.36,47.81,22.8,1.51,0.95,0.46,0.32,1.19,0.28,1.41,1.57,0.51,Moderate,Selective corrosion activity
Pwani,27/07/2020,50.62,35.4,43.87,0.38,0.16,0.4,0.98,1.3,0.06,0.25,0.59,0.73,Low,Acceptable corrosion rates
Pwani,13/01/2021,60.83,42.55,35.73,0.13,0.13,1.21,0.26,0.45,0.37,0.39,0.1,0.16,Low,Minor surface oxidation
Kilifi,30/09/2024,76.25,53.33,17.67,1.66,0.08,1.01,0.53,0.97,0.58,0.38,0.03,0.37,Moderate,Uniform corrosion with scaling
Dodoma,07/02/2023,86.39,60.42,11.91,3.88,0.05,0.2,0.1,0.5,0.58,0.1,0.05,0.05,Severe,Critical stress corrosion cracking
Tabora,29/06/2020,70.51,49.32,27.77,1.96,0.05,0.2,0.1,0.5,0.6,0.1,0.05,0.05,Moderate,Erosive wear from particulate ingress
Zanzibar,15/01/2020,56.94,39.83,39.08,0.14,0.12,0.91,0.35,0.72,0.37,0.32,0.49,0.58,Low,Slight discoloration only
Cyclone,28/09/2023,78.5,54.9,9.11,4.04,0.63,1.04,2.25,0.49,0.68,1.03,0.36,0.58,High,Advanced galvanic corrosion
Mtwara,19/06/2021,35.79,25.03,44.98,0.99,0.76,5.33,2.9,2.14,0.12,2.76,1.59,0.12,Very Low,No significant deterioration
Pemba,08/12/2022,94.29,65.95,4.29,1.41,0.05,0.2,0.1,0.5,0.51,0.1,0.05,0.05,High,Critical structural degradation
Tabora,23/10/2021,57.64,40.31,20.39,0.46,2.07,4.12,1.28,8.38,0.17,0.58,1.64,0.23,Low,Acceptable corrosion rates
Lindi,14/12/2024,50.49,35.32,27.76,0.09,1.43,3.11,2.46,8.53,0.24,1.32,1.19,0.71,Very Low,Stable protective coating
Dodoma,17/10/2024,68.9,48.19,18.68,1.3,0.43,0.18,2.63,0.68,0.24,0.78,1.47,0.26,Moderate,Moderate pitting observed
Pemba,09/02/2020,58.74,41.08,25.63,1.92,0.05,4.11,0.42,2.29,0.71,0.12,1.18,0.37,Moderate,Erosive wear from particulate ingress
Singida,03/04/2021,74.09,51.82,16.13,0.89,0.61,1.37,0.91,2.29,0.71,0.37,0.57,0.8,Moderate,Erosive wear from particulate ingress
Pemba,04/11/2020,66.18,46.28,26.67,1.18,0.1,1.53,0.64,1.12,0.67,0.45,0.41,0.2,Moderate,Selective corrosion activity
Pwani,02/09/2021,81.71,57.15,6.86,4.32,0.62,0.38,0.66,1.44,1.09,0.23,0.72,0.62,High,Advanced galvanic corrosion
Bukoba,27/05/2020,38.24,26.74,44.68,0.31,0.53,4.02,0.68,4.94,0.19,0.74,0.83,0.2,Low,Acceptable corrosion rates
Madimba,21/02/2024,60.18,42.09,27.22,1.16,0.22,3.75,2.38,0.33,0.17,0.37,1.58,0.5,Very Low,Excellent corrosion resistance
Morogoro,29/08/2021,49.9,34.9,27.96,0.38,1.71,2.95,2.84,7.01,0.32,1.28,0.97,0.72,Very Low,Excellent corrosion resistance
Madimba,26/10/2024,76.75,53.68,10.08,4.27,0.65,2.75,1.38,0.85,1.27,0.38,0.06,0.13,High,Critical structural degradation
Njombe,06/06/2021,58.96,41.24,21.81,1.76,0.43,2.79,0.27,6.64,0.25,1.92,1.61,0.66,Moderate,Uniform corrosion with scaling
Mtwara,20/06/2020,85.04,59.48,9.29,2.48,0.26,0.57,0.09,0.71,0.55,0.27,0.38,0.09,High,Severe intergranular attack
Arusha,16/06/2023,45.25,31.65,43.28,0.98,0.38,1.75,0.76,3.92,0.23,1.32,0.61,0.4,Low,Minor surface oxidation
Cyclone,02/02/2024,91.64,64.09,4.67,2.29,0.01,0.1,0.05,0.23,0.94,0.07,0.01,0.01,Severe,Rapid corrosion propagation
Kagera,12/06/2020,81.1,56.72,6.07,1.42,0.57,1.72,1.66,0.44,0.74,1.56,0.9,0.77,High,Advanced galvanic corrosion
Kilifi,05/01/2024,59.11,41.34,13.31,1.04,0.76,7.81,1.16,9.93,0.28,2.73,0.55,0.56,Moderate,Moderate pitting observed
Arusha,10/05/2022,77.75,54.38,22.75,0.6,0.05,0.2,0.1,0.5,0.18,0.1,0.05,0.05,Moderate,Uniform corrosion with scaling
Pemba,19/10/2022,56.33,39.4,31.83,0.21,0.05,4.0,1.05,2.97,0.22,0.78,0.11,0.16,Low,Light surface scaling
Rukwa,25/02/2021,64.46,45.09,21.84,0.08,0.9,0.37,2.52,3.51,0.07,1.52,1.13,0.14,Very Low,No significant deterioration
Dar es Salaam,19/12/2023,52.9,37.0,39.13,0.77,0.17,0.46,0.46,1.98,0.38,1.33,0.11,0.57,Low,Light surface scaling
Shinyanga,22/07/2024,76.16,53.27,13.45,1.34,0.71,1.28,0.98,1.08,0.77,0.2,0.26,0.33,Moderate,Moderate pitting observed
Lindi,25/09/2021,72.78,50.9,14.45,1.63,0.24,0.76,2.41,1.79,0.39,1.67,0.74,0.09,Moderate,Erosive wear from particulate ingress
Dodoma,27/08/2022,57.79,40.42,24.49,1.97,0.52,5.32,1.43,3.68,0.4,0.43,1.69,0.52,Moderate,General surface corrosion
Bukoba,27/10/2021,74.94,52.41,26.72,1.8,0.05,0.2,0.1,0.5,0.21,0.1,0.05,0.05,Moderate,Uniform corrosion with scaling
Pemba,26/12/2021,72.03,50.38,21.71,1.54,0.08,1.1,0.11,1.48,0.26,0.38,0.27,0.02,Moderate,Moderate pitting observed
Musoma,15/08/2024,67.65,47.31,22.62,1.28,1.12,0.5,2.17,0.9,0.69,0.35,1.37,0.41,Moderate,General surface corrosion
Cyclone,11/04/2020,76.95,53.82,8.02,1.92,0.85,0.35,1.64,4.6,0.79,1.4,0.52,0.3,High,Severe intergranular attack
Dodoma,04/01/2022,78.9,55.18,7.19,3.86,0.36,0.72,1.27,2.6,1.24,1.48,1.38,0.37,Severe,Rapid corrosion propagation
Kagera,22/09/2023,45.15,31.58,35.93,1.0,1.18,5.07,0.54,6.66,0.17,0.18,1.66,0.77,Low,Acceptable corrosion rates
Singida,13/08/2024,87.01,60.86,1.31,2.76,0.21,2.1,1.02,1.68,0.67,1.05,0.75,0.08,Severe,Deep penetration corrosion
Mtwara,13/10/2022,72.25,50.54,27.85,1.42,0.05,0.2,0.1,0.5,0.33,0.1,0.05,0.05,Moderate,Selective corrosion activity
Pemba,28/12/2022,62.58,43.77,25.71,0.94,0.96,0.75,2.03,3.63,0.59,0.18,0.53,0.26,Moderate,Uniform corrosion with scaling
Ruvuma,14/10/2021,76.64,53.6,17.64,0.19,0.64,0.47,0.61,0.95,0.71,0.49,0.77,0.41,Moderate,Uniform corrosion with scaling
Rukwa,18/03/2021,84.31,58.96,3.89,1.02,0.51,4.29,1.47,0.88,0.88,0.43,1.02,0.75,High,Extensive uniform corrosion
Songosongo,15/04/2024,85.3,59.66,7.18,3.67,0.02,0.24,0.49,0.4,1.01,0.26,0.63,0.04,Severe,Severe localized attack
Zanzibar,07/06/2020,67.4,47.14,19.75,1.94,0.23,3.47,1.89,2.5,0.19,0.55,1.13,0.16,Moderate,Erosive wear from particulate ingress
Mtwara,11/04/2025,64.33,44.99,17.56,0.18,0.08,6.02,0.75,4.93,0.32,1.94,1.08,0.07,Moderate,General surface corrosion
Tabora,30/06/2022,77.34,54.09,2.4,2.75,1.22,4.12,0.08,3.33,1.05,0.67,1.9,0.31,High,Extensive uniform corrosion
Pwani,28/03/2022,71.44,49.97,16.78,1.25,0.04,4.35,0.29,1.12,0.42,0.71,0.45,0.63,Moderate,Erosive wear from particulate ingress
Tanga,28/02/2025,58.82,41.14,31.73,0.96,0.14,2.02,1.36,2.87,0.13,0.22,0.23,0.64,Low,Minimal corrosion activity
Pwani,03/12/2023,47.76,33.4,43.43,1.06,0.05,2.35,0.78,0.53,0.31,0.77,0.35,0.63,Low,Minimal corrosion activity
Singida,04/06/2023,61.94,43.32,25.67,0.83,0.93,0.65,0.79,1.41,0.64,2.77,1.07,0.48,Moderate,Moderate pitting observed
Dodoma,21/07/2022,73.56,51.45,13.87,1.09,0.6,4.07,0.6,2.55,0.23,1.41,0.31,0.04,Moderate,Moderate pitting observed
Kagera,02/07/2022,57.31,40.09,33.01,0.83,0.7,0.57,1.72,1.59,0.29,1.03,0.6,0.73,Low,Acceptable corrosion rates
Kagera,06/04/2020,56.96,39.84,24.1,0.95,1.5,6.16,0.84,3.58,0.67,1.17,1.79,0.55,Moderate,Erosive wear from particulate ingress
Tanga,02/03/2022,83.84,58.64,9.21,2.08,0.05,0.46,0.58,1.13,1.38,0.17,0.24,0.65,Severe,Critical stress corrosion cracking
Mbeya,20/06/2024,54.64,38.21,27.6,0.8,0.63,4.17,2.25,2.17,0.33,1.2,0.92,0.66,Low,Acceptable corrosion rates
Pwani,06/09/2023,85.9,60.08,10.94,3.25,0.05,0.2,0.1,0.5,0.51,0.1,0.05,0.05,High,Severe corrosion (oxidation and MIC)
Zanzibar,15/02/2023,53.36,37.32,41.14,0.99,0.53,0.91,0.31,0.43,0.2,0.38,0.09,0.66,Low,Minor surface oxidation
